Row Labels,Count of replayFrom,Sum of count,Sum of TotalDelivered,Sum of TotalEvents
1092105,1,2,2,2
1092106,1,2,2,2
1092107,1,2,2,2
1092108,1,2,2,2
1092109,1,2,2,2
1092110,1,2,2,2
1092111,1,2,2,2
1092112,1,2,4,4
1092114,1,2,2,2
1092115,1,2,2,2
1092116,1,2,2,2
1092117,1,2,2,2
1092118,1,2,2,2
1092119,1,2,2,2
1092120,1,2,2,2
1092121,1,2,2,2
1092122,1,2,2,2
1092123,1,2,2,2
1092124,1,2,2,2
1092125,1,2,2,2
1092126,1,2,2,2
1092127,1,2,2,2
1092129,1,2,2,2
1092130,1,2,2,2
1092131,1,2,2,2
1092132,1,2,2,2
1092133,1,2,2,2
1092134,1,2,2,2
1092135,1,2,2,2
1092136,1,2,2,2
1092137,1,2,2,2
1092138,1,2,2,2
1092139,1,2,2,2
1092141,1,2,2,2
1092142,1,2,2,2
1092143,1,2,2,2
1092145,1,2,2,2
1092146,1,2,2,2
1092147,1,2,2,2
1092148,1,2,2,2
1092149,1,2,2,2
1092150,1,2,2,2
1092151,1,2,2,2
1092152,1,2,2,2
1092153,1,2,2,2
