replayFrom,channelName,TotalDelivered
1018063,/event/OutboundCase__e,3
1018065,/event/OutboundCase__e,3
1018069,/event/OutboundCase__e,3
1018071,/event/OutboundCase__e,3
1018072,/event/OutboundCase__e,6
1018074,/event/OutboundCase__e,3
1018076,/event/OutboundCase__e,3
1018079,/event/OutboundCase__e,3
1018085,/event/OutboundCase__e,3
1018087,/event/OutboundCase__e,3
1018094,/event/OutboundCase__e,3
1018095,/event/OutboundCase__e,3
1018097,/event/OutboundCase__e,6
1018101,/event/OutboundCase__e,3
1018103,/event/OutboundCase__e,3
1018105,/event/OutboundCaseComment__e,3
1018106,/event/OutboundCase__e,6
1018108,/event/OutboundCase__e,3
1018111,/event/OutboundCase__e,3
1018114,/event/OutboundCase__e,3
1018117,/event/OutboundCase__e,3
1018120,/event/OutboundCase__e,3
1018122,/event/OutboundCase__e,3
1018126,/event/OutboundCase__e,3
1018127,/event/OutboundCase__e,3
1018130,/event/OutboundCase__e,3
1018134,/event/OutboundCase__e,3
1018136,/event/OutboundCase__e,6
1018139,/event/OutboundCaseComment__e,3
1018141,/event/OutboundCase__e,3
1018144,/event/OutboundCase__e,3
1018147,/event/OutboundCase__e,3
1018148,/event/OutboundCaseComment__e,3
1018150,/event/OutboundCase__e,3
1018153,/event/OutboundCase__e,3
1018155,/event/OutboundCase__e,9
1018161,/event/OutboundCase__e,3
1018166,/event/OutboundCase__e,3
1018169,/event/OutboundCaseComment__e,3
1018171,/event/OutboundCase__e,3
1018174,/event/OutboundCase__e,3
1018176,/event/OutboundCase__e,3
1018179,/event/OutboundCase__e,3
1018182,/event/OutboundCase__e,3
1018186,/event/OutboundCase__e,3
1018189,/event/OutboundCase__e,3
1018192,/event/OutboundCase__e,3
1018193,/event/OutboundCase__e,3
1018194,/event/OutboundCaseComment__e,3
1018195,/event/OutboundCase__e,3
1018197,/event/OutboundCase__e,3
1018200,/event/OutboundCase__e,3
1018201,/event/OutboundCase__e,3
1018207,/event/OutboundCase__e,3
1018208,/event/OutboundCaseComment__e,3
1018209,/event/OutboundCase__e,3
1018210,/event/OutboundCase__e,3
1018212,/event/OutboundCase__e,3
1018213,/event/OutboundCase__e,3
1018215,/event/OutboundCase__e,3
1018217,/event/OutboundCase__e,3
1018219,/event/OutboundCase__e,3
1018222,/event/OutboundCase__e,3
1018224,/event/OutboundCase__e,3
1018225,/event/OutboundCase__e,3
1018228,/event/OutboundCase__e,6
1018235,/event/OutboundCase__e,3
1018237,/event/OutboundCase__e,3
1018238,/event/OutboundCase__e,3
1018239,/event/OutboundCase__e,6
1018241,/event/OutboundCase__e,3
1018243,/event/OutboundCase__e,6
1018245,/event/OutboundCase__e,3
1018248,/event/OutboundCase__e,6
1018250,/event/OutboundCase__e,6
1018252,/event/OutboundCase__e,3
1018255,/event/OutboundCase__e,3
1018257,/event/OutboundCase__e,6
1018259,/event/OutboundCase__e,3
1018260,/event/OutboundCase__e,3
1018261,/event/OutboundCase__e,3
1018263,/event/OutboundCase__e,6
1018268,/event/OutboundCase__e,6
1018271,/event/OutboundCase__e,3
1018274,/event/OutboundCase__e,3
1018275,/event/OutboundCase__e,3
1018277,/event/OutboundCase__e,3
1018286,/event/OutboundCase__e,6
1018288,/event/OutboundCase__e,3
1018289,/event/OutboundCase__e,6
1018292,/event/OutboundCase__e,3
1018293,/event/OutboundCase__e,3
1018294,/event/OutboundCase__e,6
1018296,/event/OutboundCase__e,3
1018299,/event/OutboundCase__e,3
1018303,/event/OutboundCase__e,3
1018304,/event/OutboundCase__e,3
1018305,/event/OutboundCase__e,3
1018307,/event/OutboundCase__e,3
1018308,/event/OutboundCase__e,3
1018311,/event/OutboundCase__e,3
1018314,/event/OutboundCase__e,3
1018315,/event/OutboundCase__e,3
1018317,/event/OutboundCase__e,3
1018319,/event/OutboundCase__e,3
1018321,/event/OutboundCase__e,3
1018322,/event/OutboundCase__e,3
1018325,/event/OutboundCase__e,3
1018326,/event/OutboundCase__e,3
1018327,/event/OutboundCase__e,3
1018328,/event/OutboundCase__e,3
1018329,/event/OutboundCase__e,3
1018330,/event/OutboundCase__e,3
1018332,/event/OutboundCase__e,3
1018333,/event/OutboundCase__e,3
1018334,/event/OutboundCase__e,3
1018335,/event/OutboundCase__e,3
1018336,/event/OutboundCase__e,3
1018338,/event/OutboundCase__e,6
1018340,/event/OutboundCase__e,3
1018341,/event/OutboundCase__e,3
1018344,/event/OutboundCase__e,6
1018346,/event/OutboundCase__e,3
1018347,/event/OutboundCase__e,6
1018349,/event/OutboundCase__e,3
1018350,/event/OutboundCaseComment__e,3
1018351,/event/OutboundCase__e,3
1018352,/event/OutboundCase__e,3
1018354,/event/OutboundCase__e,6
1018356,/event/OutboundCase__e,3
1018357,/event/OutboundCase__e,6
1018359,/event/OutboundCase__e,3
1018360,/event/OutboundCase__e,6
1018362,/event/OutboundCase__e,6
1018364,/event/OutboundCase__e,6
1018366,/event/OutboundCase__e,6
1018368,/event/OutboundCase__e,3
1018370,/event/OutboundCase__e,3
1018372,/event/OutboundCase__e,6
1018374,/event/OutboundCase__e,6
1018377,/event/OutboundCase__e,3
1018378,/event/OutboundCaseComment__e,3
1018380,/event/OutboundCase__e,6
1018382,/event/OutboundCase__e,6
1018384,/event/OutboundCase__e,6
1018386,/event/OutboundCase__e,3
1018388,/event/OutboundCase__e,3
1018389,/event/OutboundCase__e,3
1018391,/event/OutboundCase__e,3
1018392,/event/OutboundCase__e,3
1018393,/event/OutboundCase__e,6
1018395,/event/OutboundCase__e,3
1018397,/event/OutboundCase__e,3
1018398,/event/OutboundCase__e,6
1018400,/event/OutboundCase__e,6
1018403,/event/OutboundCase__e,3
1018404,/event/OutboundCase__e,6
1018406,/event/OutboundCase__e,3
1018408,/event/OutboundCase__e,6
1018411,/event/OutboundCase__e,6
1018413,/event/OutboundCase__e,6
1018415,/event/OutboundCase__e,6
1018417,/event/OutboundCase__e,6
1018419,/event/OutboundCase__e,3
1018420,/event/OutboundCase__e,6
1018423,/event/OutboundCase__e,3
1018425,/event/OutboundCase__e,6
1018427,/event/OutboundCase__e,3
1018428,/event/OutboundCase__e,6
1018431,/event/OutboundCase__e,3
1018432,/event/OutboundCase__e,9
1018435,/event/OutboundCase__e,6
1018437,/event/OutboundCase__e,6
1018439,/event/OutboundCase__e,6
1018441,/event/OutboundCase__e,6
1018444,/event/OutboundCase__e,6
1018446,/event/OutboundCase__e,6
1018449,/event/OutboundCase__e,3
1018451,/event/OutboundCase__e,6
1018455,/event/OutboundCase__e,6
1018457,/event/OutboundCase__e,6
1018459,/event/OutboundCase__e,6
1018461,/event/OutboundCase__e,6
1018463,/event/OutboundCase__e,3
1018464,/event/OutboundCase__e,6
1018466,/event/OutboundCase__e,3
1018468,/event/OutboundCase__e,3
1018469,/event/OutboundCase__e,3
1018470,/event/OutboundCase__e,3
1018472,/event/OutboundCase__e,3
1018474,/event/OutboundCase__e,6
1018476,/event/OutboundCase__e,3
1018477,/event/OutboundCase__e,3
1018480,/event/OutboundCase__e,6
1018482,/event/OutboundCase__e,3
1018484,/event/OutboundCase__e,3
1018485,/event/OutboundCase__e,3
1018487,/event/OutboundCase__e,6
1018490,/event/OutboundCase__e,3
1018491,/event/OutboundCase__e,3
1018493,/event/OutboundCase__e,6
1018495,/event/OutboundCase__e,6
1018497,/event/OutboundCase__e,6
1018501,/event/OutboundCase__e,6
1018505,/event/OutboundCase__e,3
1018507,/event/OutboundCase__e,6
1018509,/event/OutboundCase__e,3
1018511,/event/OutboundCase__e,6
1018513,/event/OutboundCase__e,6
1018517,/event/OutboundCase__e,6
1018520,/event/OutboundCase__e,6
1018522,/event/OutboundCase__e,3
1018524,/event/OutboundCase__e,3
1018526,/event/OutboundCase__e,3
1018527,/event/OutboundCase__e,3
1018529,/event/OutboundCase__e,6
1018532,/event/OutboundCase__e,3
1018533,/event/OutboundCase__e,3
1018535,/event/OutboundCase__e,6
1018537,/event/OutboundCase__e,3
1018538,/event/OutboundCase__e,3
1018539,/event/OutboundCase__e,6
1018541,/event/OutboundCase__e,3
1018542,/event/OutboundCase__e,3
1018545,/event/OutboundCase__e,3
1018547,/event/OutboundCase__e,3
1018548,/event/OutboundCase__e,3
1018550,/event/OutboundCase__e,3
1018551,/event/OutboundCase__e,3
1018554,/event/OutboundCase__e,6
1018556,/event/OutboundCase__e,3
1018557,/event/OutboundCase__e,3
1018559,/event/OutboundCase__e,3
1018562,/event/OutboundCase__e,3
1018565,/event/OutboundCase__e,3
1018566,/event/OutboundCase__e,3
1018567,/event/OutboundCase__e,3
1018569,/event/OutboundCase__e,3
1018570,/event/OutboundCase__e,3
1018571,/event/OutboundCase__e,3
1018574,/event/OutboundCase__e,3
1018577,/event/OutboundCase__e,3
1018578,/event/OutboundCase__e,3
1018579,/event/OutboundCase__e,3
1018582,/event/OutboundCase__e,9
1018586,/event/OutboundCase__e,3
